trabajador_id,nombre,fecha_nacimiento,pasaporte,nombre_compania,codigo_compania,vuelo_id,rol
19,Desiree Williams,19-03-1993,Z32250364,AEROVIAS DAP (centro/norte),ADC,85.0,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,LAW,LAW,48.0,Tripulante de Cabina
19,Desiree Williams,19-03-1993,Z32250364,ETHOPIAN AIRLINES,ETA,85.0,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,LAW,LAW,45.0,Tripulante de Cabina
18,Michael Chavez,28-08-1976,O16330677,LATAM CARGO,UCA,142.0,Tripulante de Cabina
32,Darrell Henderson,14-03-1975,I87476188,QANTAS,QAF,142.0,Paramedico
2,Melissa Jimenez,18-12-1998,W08204144,IBERIA,IBE,124.0,Tripulante de Cabina
46,Heather Arnold,10-01-1999,Y81323264,UNITED,UAN,138.0,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,LAW,LAW,26.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,UNITED,UAN,130.0,Tripulante de Cabina
39,Patricia Norris,08-12-1974,Y69764268,QANTAS,QAF,9.0,Tripulante de Cabina
4,Diane Swanson,14-02-1974,F08731569,KALITTA AIR,KAI,129.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,UNITED,UAN,138.0,Tripulante de Cabina
14,Ronnie Macias,12-02-1988,J06543685,LATAM DOMESTICO,LUD,33.0,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,LATAM DOMESTICO,LUD,48.0,Tripulante de Cabina
58,Samuel Jimenez,07-01-1984,B79815379,LACSA,LRC,80.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,BRITISH,BTA,47.0,Tripulante de Cabina
51,Kristina Gilmore,13-12-1985,B29047250,KALITTA AIR,KAI,26.0,Tripulante de Cabina
12,Ronnie Moore,12-01-1997,L28170812,AEROVIAS DAP (centro/norte),ADC,48.0,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,KALITTA AIR,KAI,2.0,Tripulante de Cabina
13,Bradley Glenn,17-10-1975,U87751971,KOREAN AIR,KEA,113.0,Tripulante de Cabina
28,Nicholas Simmons,03-08-1994,W03439988,LAW,LAW,11.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,KALITTA AIR,KAI,139.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,EASTERN AIRLINES,EAL,138.0,Tripulante de Cabina
45,Jill Haas,10-04-1986,U50608611,LAW,LAW,117.0,Paramedico
56,Isaiah Riley,18-09-1986,W12727804,KALITTA AIR,KAI,36.0,Tripulante de Cabina
53,Patricia Alvarado,01-08-1983,P27318304,BRITISH,BTA,65.0,Paramedico
39,Patricia Norris,08-12-1974,Y69764268,AEROVIAS DAP (centro/norte),ADC,97.0,Tripulante de Cabina
5,Miguel Oliver,27-08-1992,E21376006,UNITED,UAN,138.0,Tripulante de Cabina
49,Kenneth Brady,06-11-1981,O21522167,UNITED,UAN,50.0,Paramedico
16,Tracey Harris,05-06-1978,C97271665,LATAM ECUADOR,XLE,76.0,Tripulante de Cabina
46,Heather Arnold,10-01-1999,Y81323264,KALITTA AIR,KAI,50.0,Tripulante de Cabina
46,Heather Arnold,10-01-1999,Y81323264,KALITTA AIR,KAI,108.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,ALITALIA,AZI,101.0,Tripulante de Cabina
32,Darrell Henderson,14-03-1975,I87476188,LATAM CARGO,UCA,144.0,Paramedico
50,Adam Herrera,04-12-1976,Y37241205,BRITISH,BTA,37.0,Paramedico
51,Kristina Gilmore,13-12-1985,B29047250,KALITTA AIR,KAI,51.0,Tripulante de Cabina
58,Samuel Jimenez,07-01-1984,B79815379,AEROVIAS DAP (centro/norte),ADC,33.0,Tripulante de Cabina
19,Desiree Williams,19-03-1993,Z32250364,MARTINAIR HOLLAND,MPH,50.0,Tripulante de Cabina
49,Kenneth Brady,06-11-1981,O21522167,LATAM DOMESTICO,LUD,50.0,Paramedico
35,Francisco Rich,21-02-1996,D89562085,QANTAS,QAF,89.0,Paramedico
5,Miguel Oliver,27-08-1992,E21376006,ALITALIA,AZI,59.0,Tripulante de Cabina
52,Sara Sims,10-07-1999,F00773862,ETHOPIAN AIRLINES,ETA,13.0,Paramedico
51,Kristina Gilmore,13-12-1985,B29047250,NO_COMPANY,NCY,38.0,Tripulante de Cabina
5,Miguel Oliver,27-08-1992,E21376006,LATAM DOMESTICO,LUD,13.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,IBERIA,IBE,81.0,Tripulante de Cabina
43,Rebecca Valenzuela,18-08-1971,G17571521,AEROVIAS DAP (centro/norte),ADC,71.0,Paramedico
14,Ronnie Macias,12-02-1988,J06543685,EASTERN AIRLINES,EAL,90.0,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,KALITTA AIR,KAI,33.0,Tripulante de Cabina
11,David Tran,07-08-1975,B62958600,LATAM DOMESTICO,LUD,34.0,Tripulante de Cabina
46,Heather Arnold,10-01-1999,Y81323264,UNITED,UAN,139.0,Tripulante de Cabina
52,Sara Sims,10-07-1999,F00773862,KALITTA AIR,KAI,140.0,Paramedico
11,David Tran,07-08-1975,B62958600,NO_COMPANY,NCY,100.0,Tripulante de Cabina
35,Francisco Rich,21-02-1996,D89562085,IBERIA,IBE,78.0,Paramedico
5,Miguel Oliver,27-08-1992,E21376006,ALITALIA,AZI,108.0,Tripulante de Cabina
19,Desiree Williams,19-03-1993,Z32250364,MARTINAIR HOLLAND,MPH,121.0,Tripulante de Cabina
32,Darrell Henderson,14-03-1975,I87476188,LATAM INTER,LAT,72.0,Paramedico
5,Miguel Oliver,27-08-1992,E21376006,UNITED,UAN,50.0,Tripulante de Cabina
13,Bradley Glenn,17-10-1975,U87751971,LATAM CARGO,UCA,63.0,Tripulante de Cabina
19,Desiree Williams,19-03-1993,Z32250364,LATAM DOMESTICO,LUD,114.0,Tripulante de Cabina
18,Michael Chavez,28-08-1976,O16330677,ETHOPIAN AIRLINES,ETA,68.0,Tripulante de Cabina
1,Melanie Cummings,01-09-1980,J00360904,KOREAN AIR,KEA,21.0,Tripulante de Cabina
58,Samuel Jimenez,07-01-1984,B79815379,UNITED,UAN,80.0,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,LATAM DOMESTICO,LUD,34.0,Tripulante de Cabina
33,Samantha Mora,27-10-1990,P24467352,QANTAS,QAF,91.0,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,KALITTA AIR,KAI,121.0,Tripulante de Cabina
32,Darrell Henderson,14-03-1975,I87476188,LATAM CARGO,UCA,142.0,Paramedico
46,Heather Arnold,10-01-1999,Y81323264,UNITED,UAN,108.0,Tripulante de Cabina
46,Heather Arnold,10-01-1999,Y81323264,LATAM DOMESTICO,LUD,43.0,Tripulante de Cabina
52,Sara Sims,10-07-1999,F00773862,LAW,LAW,9.0,Paramedico
2,Melissa Jimenez,18-12-1998,W08204144,IBERIA,IBE,93.0,Tripulante de Cabina
19,Desiree Williams,19-03-1993,Z32250364,LATAM ECUADOR,XLE,37.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,UNITED,UAN,28.0,Tripulante de Cabina
48,Alex Walsh,12-12-1985,W59287703,LAW,LAW,35.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,OCEANAIR,COG,74.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,UNITED,UAN,77.0,Tripulante de Cabina
42,Deborah Martinez,03-02-1987,G18065401,LACSA,LRC,49.0,Tripulante de Cabina
27,Steven Hernandez,18-11-1997,Z48029074,ALITALIA,AZI,14.0,Paramedico
5,Miguel Oliver,27-08-1992,E21376006,LATAM DOMESTICO,LUD,59.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,BRITISH,BTA,124.0,Tripulante de Cabina
32,Darrell Henderson,14-03-1975,I87476188,QANTAS,QAF,132.0,Paramedico
1,Melanie Cummings,01-09-1980,J00360904,LATAM ECUADOR,XLE,6.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,IBERIA,IBE,104.0,Tripulante de Cabina
27,Steven Hernandez,18-11-1997,Z48029074,NO_COMPANY,NCY,14.0,Paramedico
4,Diane Swanson,14-02-1974,F08731569,LAW,LAW,105.0,Tripulante de Cabina
53,Patricia Alvarado,01-08-1983,P27318304,KALITTA AIR,KAI,81.0,Paramedico
2,Melissa Jimenez,18-12-1998,W08204144,LAW,LAW,137.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,KALITTA AIR,KAI,111.0,Tripulante de Cabina
18,Michael Chavez,28-08-1976,O16330677,ETHOPIAN AIRLINES,ETA,72.0,Tripulante de Cabina
42,Deborah Martinez,03-02-1987,G18065401,KALITTA AIR,KAI,44.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,ALITALIA,AZI,73.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,LATAM ARGENTINA,LAM,115.0,Tripulante de Cabina
